posto;months since 1960-01-01;mm/month
1;Dec 1982 - Feb 1983;66.74207
2;Dec 1982 - Feb 1983;74.333
3;Dec 1982 - Feb 1983;72.47626
4;Dec 1982 - Feb 1983;65.43789
5;Dec 1982 - Feb 1983;56.67216
1;Dec 1983 - Feb 1984;118.1844
2;Dec 1983 - Feb 1984;118.9175
3;Dec 1983 - Feb 1984;124.2025
4;Dec 1983 - Feb 1984;123.8255
5;Dec 1983 - Feb 1984;134.8587
1;Dec 1984 - Feb 1985;138.007
2;Dec 1984 - Feb 1985;135.1918
3;Dec 1984 - Feb 1985;126.7835
4;Dec 1984 - Feb 1985;123.046
5;Dec 1984 - Feb 1985;126.807
1;Dec 1985 - Feb 1986;50.12115
2;Dec 1985 - Feb 1986;64.16078
3;Dec 1985 - Feb 1986;72.34618
4;Dec 1985 - Feb 1986;81.14764
5;Dec 1985 - Feb 1986;62.09554
1;Dec 1986 - Feb 1987;73.53038
2;Dec 1986 - Feb 1987;76.07001
3;Dec 1986 - Feb 1987;78.2413
4;Dec 1986 - Feb 1987;78.8997
5;Dec 1986 - Feb 1987;80.68091
1;Dec 1987 - Feb 1988;106.0165
2;Dec 1987 - Feb 1988;91.47575
3;Dec 1987 - Feb 1988;83.86534
4;Dec 1987 - Feb 1988;78.89578
5;Dec 1987 - Feb 1988;89.90505
1;Dec 1988 - Feb 1989;86.07513
2;Dec 1988 - Feb 1989;78.33854
3;Dec 1988 - Feb 1989;77.98438
4;Dec 1988 - Feb 1989;84.71002
5;Dec 1988 - Feb 1989;82.06823
1;Dec 1989 - Feb 1990;118.808
2;Dec 1989 - Feb 1990;139.9363
3;Dec 1989 - Feb 1990;150.3658
4;Dec 1989 - Feb 1990;157.4767
5;Dec 1989 - Feb 1990;142.7401
1;Dec 1990 - Feb 1991;113.0475
2;Dec 1990 - Feb 1991;112.2701
3;Dec 1990 - Feb 1991;124.5919
4;Dec 1990 - Feb 1991;103.6938
5;Dec 1990 - Feb 1991;96.66466
1;Dec 1991 - Feb 1992;46.2416
2;Dec 1991 - Feb 1992;51.42001
3;Dec 1991 - Feb 1992;59.02116
4;Dec 1991 - Feb 1992;63.71204
5;Dec 1991 - Feb 1992;59.77216
1;Dec 1992 - Feb 1993;129.4316
2;Dec 1992 - Feb 1993;122.8652
3;Dec 1992 - Feb 1993;110.567
4;Dec 1992 - Feb 1993;122.7893
5;Dec 1992 - Feb 1993;118.9653
1;Dec 1993 - Feb 1994;87.00322
2;Dec 1993 - Feb 1994;92.48573
3;Dec 1993 - Feb 1994;89.27115
4;Dec 1993 - Feb 1994;91.53323
5;Dec 1993 - Feb 1994;89.71188
1;Dec 1994 - Feb 1995;125.7799
2;Dec 1994 - Feb 1995;102.246
3;Dec 1994 - Feb 1995;100.2274
4;Dec 1994 - Feb 1995;90.3876
5;Dec 1994 - Feb 1995;111.4758
1;Dec 1995 - Feb 1996;153.143
2;Dec 1995 - Feb 1996;161.1465
3;Dec 1995 - Feb 1996;163.9667
4;Dec 1995 - Feb 1996;128.0822
5;Dec 1995 - Feb 1996;119.9405
1;Dec 1996 - Feb 1997;97.12206
2;Dec 1996 - Feb 1997;105.0219
3;Dec 1996 - Feb 1997;134.8399
4;Dec 1996 - Feb 1997;119.9965
5;Dec 1996 - Feb 1997;115.4652
1;Dec 1997 - Feb 1998;115.4359
2;Dec 1997 - Feb 1998;130.2011
3;Dec 1997 - Feb 1998;131.1773
4;Dec 1997 - Feb 1998;128.8953
5;Dec 1997 - Feb 1998;127.3854
1;Dec 1998 - Feb 1999;168.6627
2;Dec 1998 - Feb 1999;185.5516
3;Dec 1998 - Feb 1999;190.4742
4;Dec 1998 - Feb 1999;162.0549
5;Dec 1998 - Feb 1999;154.5939
1;Dec 1999 - Feb 2000;230.8661
2;Dec 1999 - Feb 2000;240.4599
3;Dec 1999 - Feb 2000;243.5888
4;Dec 1999 - Feb 2000;230.1072
5;Dec 1999 - Feb 2000;243.198
1;Dec 2000 - Feb 2001;97.03855
2;Dec 2000 - Feb 2001;109.2463
3;Dec 2000 - Feb 2001;105.6171
4;Dec 2000 - Feb 2001;96.05643
5;Dec 2000 - Feb 2001;93.45576
1;Dec 2001 - Feb 2002;102.7593
2;Dec 2001 - Feb 2002;105.1651
3;Dec 2001 - Feb 2002;114.3053
4;Dec 2001 - Feb 2002;113.4133
5;Dec 2001 - Feb 2002;109.4255
1;Dec 2002 - Feb 2003;60.41872
2;Dec 2002 - Feb 2003;72.53616
3;Dec 2002 - Feb 2003;80.18343
4;Dec 2002 - Feb 2003;69.90707
5;Dec 2002 - Feb 2003;65.02144
1;Dec 2003 - Feb 2004;124.8824
2;Dec 2003 - Feb 2004;125.2798
3;Dec 2003 - Feb 2004;130.5023
4;Dec 2003 - Feb 2004;129.8436
5;Dec 2003 - Feb 2004;138.9454
1;Dec 2004 - Feb 2005;72.84805
2;Dec 2004 - Feb 2005;78.11466
3;Dec 2004 - Feb 2005;76.81588
4;Dec 2004 - Feb 2005;68.95002
5;Dec 2004 - Feb 2005;71.84655
1;Dec 2005 - Feb 2006;116.2991
2;Dec 2005 - Feb 2006;128.4417
3;Dec 2005 - Feb 2006;139.915
4;Dec 2005 - Feb 2006;128.4299
5;Dec 2005 - Feb 2006;130.5045
1;Dec 2006 - Feb 2007;75.56049
2;Dec 2006 - Feb 2007;76.31255
3;Dec 2006 - Feb 2007;80.32782
4;Dec 2006 - Feb 2007;77.18163
5;Dec 2006 - Feb 2007;78.53573
1;Dec 2007 - Feb 2008;86.00684
2;Dec 2007 - Feb 2008;87.95041
3;Dec 2007 - Feb 2008;82.36352
4;Dec 2007 - Feb 2008;85.34579
5;Dec 2007 - Feb 2008;92.26743
1;Dec 2008 - Feb 2009;111.0254
2;Dec 2008 - Feb 2009;112.1589
3;Dec 2008 - Feb 2009;127.6503
4;Dec 2008 - Feb 2009;126.7165
5;Dec 2008 - Feb 2009;129.1484
1;Dec 2009 - Feb 2010;76.06015
2;Dec 2009 - Feb 2010;75.69806
3;Dec 2009 - Feb 2010;72.84149
4;Dec 2009 - Feb 2010;68.20953
5;Dec 2009 - Feb 2010;71.39169
1;Dec 2010 - Feb 2011;108.1475
2;Dec 2010 - Feb 2011;113.5207
3;Dec 2010 - Feb 2011;115.8462
4;Dec 2010 - Feb 2011;116.474
5;Dec 2010 - Feb 2011;111.1321
1;Dec 2011 - Feb 2012;67.41692
2;Dec 2011 - Feb 2012;65.28251
3;Dec 2011 - Feb 2012;70.06843
4;Dec 2011 - Feb 2012;78.5104
5;Dec 2011 - Feb 2012;79.97762
1;Dec 2012 - Feb 2013;156.1802
2;Dec 2012 - Feb 2013;163.7077
3;Dec 2012 - Feb 2013;167.0631
4;Dec 2012 - Feb 2013;135.9784
5;Dec 2012 - Feb 2013;147.3303
1;Dec 2013 - Feb 2014;100.4748
2;Dec 2013 - Feb 2014;100.2845
3;Dec 2013 - Feb 2014;84.23858
4;Dec 2013 - Feb 2014;75.75113
5;Dec 2013 - Feb 2014;77.7126
1;Dec 2014 - Feb 2015;107.9971
2;Dec 2014 - Feb 2015;108.5297
3;Dec 2014 - Feb 2015;102.3201
4;Dec 2014 - Feb 2015;108.5533
5;Dec 2014 - Feb 2015;109.0859
